MOFname,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter(PLD)[A],largest_included_sphere_along_free_sphere_path_diameter(LCD)[A],largest_included_sphere_diameter(GLD)[A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology
str_m2_o10_o28_pcu_sym.99,2.730821,0.02626,7.548432,0.212848,2.730821,0.401731,0.080481,7.583974,2.749664,0.401731,0.720006,0.256558,7.37522,4.671111,0.720006,2.32909,2.010815,2.462617,0.01866,7.757371,0.17595,2.462617,0.219067,0.016326,4.937599,1.023838,0.219067,56.95636251,1497.10588,997.52076,0,0.14611,0.1321,4.7285,3.09581,4.62265,Cl-Me,2,10,28,pcu
str_m2_o14_o22_pcu_sym.222,2.660315,0.008504,7.329125,0.065633,2.660108,0.331469,0.062382,6.788202,2.283546,0.331356,0.65661,0.156007,7.00539,2.938892,0.655913,2.328846,2.003705,2.900375,0.042072,7.122054,0.31655,2.900168,0.284998,0.002052,4.508962,0.16094,0.284229,51.56258406,1111.71416,712.60972,983.49,0.1674,0.1573,4.90226,3.49217,4.90226,NO2,2,14,22,pcu
str_m5_o2_o23_sra_sym.39,2.616488,0.000403,7.05917,0.004736,2.61641,0.287649,0.048733,7.115844,2.166666,0.287606,0.481031,0.096368,6.753459,2.377088,0.480768,2.328839,2.135457,2.403142,0.006737,6.920516,0.070691,2.403064,0.156395,0.002996,4.105176,0.172604,0.156148,77.85363641,2385.794667,1460.7516,628.04,0.14929,0.1468,4.55385,3.84202,4.49671,COOH,9,2,23,sra
str_m3_o10_o15_pcu_sym.22,2.990422,0.02003,7.797056,0.153601,2.990422,0.661673,0.155394,8.174224,3.500617,0.661673,0.900692,0.299798,8.052319,4.81413,0.900692,2.328749,2.08973,2.392153,0.017596,8.056514,0.16866,2.392153,0.1767,0.005465,4.761252,0.291907,0.1767,68.59220072,714.371041,589.0968,0,0.11515,0.0841,4.32526,3.37356,4.25631,CN,3,10,15,pcu
str_m3_o4_o22_pcu_sym.137,2.572235,0.023072,6.843821,0.180846,2.571924,0.243846,0.036567,6.8395,1.834934,0.243676,0.405072,0.084755,6.150486,2.230343,0.404022,2.328389,2.167163,2.330774,0.004892,6.97857,0.04273,2.330463,0.215649,0.000766,4.118244,0.059609,0.215649,54.76146392,1125.085334,761.23068,1034.8,0.18071,0.1608,5.99457,3.49007,5.99457,NO2-OH,3,4,22,pcu
str_m2_o10_o28_pcu_sym.45,2.773627,0.060359,7.403536,0.476693,2.773508,0.445492,0.078297,7.116974,2.248102,0.445427,0.690822,0.215465,6.846353,3.758759,0.690421,2.328135,2.082805,2.817177,0.047441,7.535443,0.37268,2.817058,0.200814,0.005526,4.525611,0.287736,0.200439,71.07919169,1487.447634,985.69328,888.15,0.1526,0.1387,4.77664,3.90316,4.77664,NH2-NO2,2,10,28,pcu
str_m5_o16_o24_sra_sym.20,2.801493,0.019385,8.357344,0.164179,2.801493,0.47357,0.096287,7.594607,2.794967,0.47357,0.656168,0.171491,8.151431,3.831793,0.656168,2.327923,2.145325,2.446399,0.001731,7.514436,0.010113,2.446399,0.135998,0.000221,4.474966,0.331017,0.135998,91.14169522,1830.706753,1232.55292,0,0.11693,0.1046,4.14148,2.80268,4.14148,HCO-H,9,16,24,sra
str_m3_o14_o17_pcu_sym.42,2.78326,0.837956,6.888771,3.791425,2.78275,0.455377,0.082885,6.650326,2.158313,0.455098,0.778404,0.176304,6.359006,2.508777,0.776689,2.327883,2.004856,2.439851,0.792517,6.680951,3.955525,2.439342,0.388723,0.126266,4.01847,2.225862,0.386552,31.80133857,1588.155468,911.49108,1467.99,0.22202,0.233,6.66159,4.73281,6.44935,OMe-OEt,3,14,17,pcu
str_m2_o10_o28_pcu_sym.9,2.922967,0.027665,9.908158,0.277063,2.922967,0.595224,0.18319,9.179134,5.206038,0.595224,0.998463,0.378243,8.901374,6.122313,0.998463,2.327743,1.924504,2.449557,0.028947,11.518876,0.455683,2.449557,0.213566,0.006094,6.753274,1.203277,0.213566,58.11359861,1509.577308,1097.99864,0,0.06631,0.0549,3.98401,2.38345,3.94927,NH2-NHMe,2,10,28,pcu
str_m3_o5_o8_pcu_sym.29,2.557227,0.005543,7.550944,0.048414,2.557227,0.229567,0.029023,8.208024,1.89297,0.229567,0.412053,0.081311,7.81555,2.760596,0.412053,2.32766,2.145174,1.814228,0.074336,9.066798,1.165363,1.814228,0.080806,0.001999,4.288385,0.255195,0.080806,113.7550248,1201.486788,949.28604,0,0.10862,0.0828,4.73875,2.74671,4.73875,NO2-SO3H,3,5,8,pcu
